ProductCategory,StockCode,Description,OrderCount,UnitsSold,TotalRevenue,AvgUnitPrice,UniqueCustomers
Uncategorised,22559,SEASIDE FLYING DISC,39,387,472.77,1.36,33
Home Décor,23180,MUM'S KITCHEN CLOCK,36,104,471.9,4.77,29
Candles & Lighting,85231G,ORANGE SCENTED SET/9 T-LIGHTS,66,573,471.45,0.86,49
Candles & Lighting,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,31,455,470.75,1.46,24
Toys & Games,23377,PACK OF 12 DOLLY GIRL TISSUES,80,1203,469.17,0.39,69
Uncategorised,21468,BUTTERFLY CROCHET FOOD COVER,50,123,468.67,3.9,43
Stationery & Cards,85032D,YULETIDE IMAGES GIFT WRAP SET,58,630,467.5,0.87,57
Stationery & Cards,85049F,BABY BOOM RIBBONS ,85,374,467.5,1.25,70
Kitchenware & Dining,23136,IVORY WIRE SWEETHEART LETTER TRAY,44,127,467.05,3.73,39
Uncategorised,22183,CAKE STAND VICTORIAN FILIGREE MED,17,74,466.95,6.44,16
Uncategorised,23218,LAUREL STAR ANTIQUE GOLD,33,372,465.81,1.38,27
Christmas & Seasonal,35599D,PINK AND WHITE CHRISTMAS TREE 120CM,19,186,465.38,2.57,17
Kitchenware & Dining,21084,SET/6 COLLAGE PAPER CUPS,103,2199,463.85,0.26,90
Uncategorised,21476,STEEL SWEETHEART ROUND TABLE CREAM,18,31,463.45,14.95,14
Uncategorised,21865,PINK UNION JACK  PASSPORT COVER ,68,223,463.38,2.09,52
Stationery & Cards,21634,ASSORTED MINI MADRAS NOTEBOOK,23,948,462.6,0.58,22
Uncategorised,85131A,BEADED PEARL HEART WHITE ON STICK,25,469,462.17,1.21,19
Kitchenware & Dining,21215,IVORY PAPER CUP CAKE CASES ,63,868,461.8,0.55,51
Home Décor,21630,FLOOR CUSHION ELEPHANT CARNIVAL,22,54,461.3,8.81,13
Uncategorised,22255,FELT TOADSTOOL  SMALL,44,542,460.7,0.85,33
Stationery & Cards,23691,WRAP KEEP CALM BIRTHDAY,36,1125,460.5,0.42,34
Home Décor,23455,SMALL PARLOUR PICTURE FRAME,32,164,459.56,2.88,30
Stationery & Cards,85016,SET OF 6 VINTAGE NOTELETS KIT,25,522,459.0,1.71,22
Stationery & Cards,23561,SET OF 6 RIBBONS PARTY,13,167,458.63,2.86,13
Bags & Accessories,22324,BLUE POLKADOT KIDS BAG,29,228,456.36,2.45,20
Home Décor,22511,RETROSPOT BABUSHKA DOORSTOP,48,245,455.87,2.33,44
Uncategorised,21014,SWISS CHALET TREE DECORATION ,66,1233,455.57,0.41,64
Stationery & Cards,21507,ELEPHANT BIRTHDAY CARD ,72,1092,454.92,0.46,63
Uncategorised,23074,EMBOSSED HEART TRINKET BOX,35,225,452.34,2.06,32
Stationery & Cards,23548,WRAP MAGIC FOREST ,43,1075,451.5,0.42,42
Candles & Lighting,71279,PINK GLASS CANDLEHOLDER,27,156,450.6,2.94,20
Home Décor,22194,BLACK DINER WALL CLOCK,33,53,450.5,8.5,24
Christmas & Seasonal,22595,CHRISTMAS GINGHAM HEART,30,552,450.48,0.85,29
Kitchenware & Dining,85184C,SET 4 VALENTINE DECOUPAGE HEART BOX,44,154,450.38,3.06,38
Stationery & Cards,23560,SET OF 6 RIBBONS COUNTRY STYLE,20,164,449.96,2.87,20
Uncategorised,35004G,SET OF 3 GOLD FLYING DUCKS,20,126,448.3,5.3,16
Stationery & Cards,21675,BUTTERFLIES STICKERS,51,525,447.81,0.94,45
Uncategorised,85194S,HANGING SPRING FLOWER EGG SMALL,55,1163,447.75,0.47,50
Uncategorised,22261,FELT EGG COSY WHITE RABBIT ,70,520,447.46,0.89,61
Stationery & Cards,21640,ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,46,541,447.37,0.85,38
Uncategorised,21472,LADYBIRD + BEE RAFFIA FOOD COVER,33,119,446.25,3.75,29
Kitchenware & Dining,21397,BLUE POLKADOT EGG CUP ,44,1016,445.26,0.53,43
Uncategorised,17096,ASSORTED LAQUERED INCENSE HOLDERS,13,2516,443.76,0.2,12
Kitchenware & Dining,23125,6PC WOOD PLATE SET DISPOSABLE,16,405,443.25,1.24,15
Candles & Lighting,84596L,BISCUITS SMALL BOWL LIGHT BLUE,79,1039,441.36,0.48,49
Uncategorised,21650,ASSORTED TUTTI FRUTTI BRACELET,61,2197,440.89,0.24,48
Home Décor,84707A,SILVER JEWELLED MIRROR TRINKET TRAY,25,66,440.74,9.55,21
Candles & Lighting,23045,PAPER LANTERN 5 POINT STAR MOON ,18,106,439.9,4.15,17
Uncategorised,21473,SWEETHEART CREAM STEEL TABLE RECT,18,22,438.9,19.95,16
Candles & Lighting,72819,CUPID DESIGN SCENTED CANDLES,30,208,436.4,2.19,28
Kitchenware & Dining,23425,STORAGE TIN HOME SWEET HOME,35,237,435.43,2.05,35
Kitchenware & Dining,23565,EGG CUP MILKMAID HELGA ,31,348,435.0,1.25,28
Stationery & Cards,23509,MINI PLAYING CARDS FUN FAIR ,54,1043,434.46,0.42,51
Christmas & Seasonal,35598B,BLACK CHRISTMAS TREE 60CM,22,554,433.7,1.28,20
Christmas & Seasonal,35598D,PINK/WHITE CHRISTMAS TREE 60CM,24,660,433.22,0.75,23
Home Décor,22446,PIN CUSHION BABUSHKA PINK,38,161,432.99,3.26,25
Kitchenware & Dining,21654,RIDGED GLASS FINGER BOWL,47,946,432.54,0.64,40
Candles & Lighting,23043,PAPER LANTERN 9 POINT HOLLY STAR L,16,69,431.25,6.25,15
Candles & Lighting,23023,RIDGED BONNE JAM JAR T-LIGHT HOLDER,23,272,431.24,1.7,23
Uncategorised,22340,NOEL GARLAND PAINTED ZINC ,61,993,430.23,0.45,53
Uncategorised,21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,31,87,430.06,5.09,30
Uncategorised,22647,CERAMIC LOVE HEART MONEY BANK,36,721,429.85,0.93,34
Uncategorised,84674,FLYING PIG WATERING CAN,40,187,429.25,2.83,31
Toys & Games,20705,MRS ROBOT SOFT TOY,28,143,428.85,4.81,27
Uncategorised,23379,PACK OF 12 RED APPLE TISSUES,50,1175,428.01,0.39,49
Uncategorised,22903,CALENDAR FAMILY FAVOURITES,32,153,427.43,2.76,21
Home Décor,23522,DOG AND BALL WALL ART,4,252,425.88,2.26,3
Novelty & Gifts,21062,PARTY INVITES SPACEMAN,61,501,425.85,0.85,55
Uncategorised,85130C,BEADED CRYSTAL HEART BLUE  LARGE,43,479,425.71,0.94,37
Uncategorised,21972,SET OF 36 DINOSAUR PAPER DOILIES,39,292,423.4,1.45,35
Uncategorised,77101A,UNION FLAG WINDSOCK,20,386,423.22,1.23,16
Candles & Lighting,17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,36,455,422.55,1.08,33
Uncategorised,20766,GARDEN PATH SKETCHBOOK,47,113,422.08,3.88,41
Uncategorised,90154,LAZER CUT NECKLACE W PASTEL BEADS,5,57,421.75,8.61,5
Christmas & Seasonal,23058,CHRISTMAS HANGING SNOWFLAKE,44,486,421.02,1.11,39
Uncategorised,21417,COCKLE SHELL DISH,32,289,420.88,1.77,24
Uncategorised,23117,POPPY FIELDS CHOPPING BOARD,39,85,420.75,4.95,39
Home Décor,84976,RECTANGULAR SHAPED MIRROR,29,502,420.68,1.0,27
Uncategorised,21711,FOLDING UMBRELLA WHITE/RED POLKADOT,23,86,420.1,4.89,22
Christmas & Seasonal,21802,CHRISTMAS TREE HEART DECORATION,46,1000,420.0,0.42,45
Stationery & Cards,22051,BLUE SCANDINAVIAN PAISLEY WRAP,39,1000,420.0,0.42,36
Uncategorised,20761,BLUE PAISLEY SKETCHBOOK,52,110,419.92,3.82,46
Uncategorised,85111,SILVER GLITTER FLOWER VOTIVE HOLDER,51,1407,419.55,0.31,40
Uncategorised,23336,EGG FRYING PAN PINK ,63,200,418.05,2.11,46
Uncategorised,21739,COSY SLIPPER SHOES SMALL GREEN,48,143,417.44,2.88,38
Kitchenware & Dining,84821,DANISH ROSE DELUXE COASTER,40,947,417.35,0.62,35
Kitchenware & Dining,82616B,FRAPPUCINO SCARF KNITTING KIT,47,308,416.78,1.69,35
Stationery & Cards,21662,VINTAGE GLASS COFFEE CADDY,16,74,416.3,5.92,14
Home Décor,22785,SQUARECUSHION COVER PINK UNION FLAG,25,62,415.3,6.72,23
Uncategorised,35241,ENAMEL BLUE RIM BISCUIT BIN,30,89,413.95,4.79,27
Uncategorised,90209C,PINK ENAMEL+GLASS HAIR COMB,12,231,413.7,2.01,8
Uncategorised,84086C,PINK/PURPLE RETRO RADIO,19,140,413.0,2.95,13
Toys & Games,23459,DOLLY CABINET 2 DRAWERS ,19,33,412.5,12.5,19
Uncategorised,21710,FOLDING UMBRELLA PINKWHITE POLKADOT,31,84,412.41,5.07,29
Novelty & Gifts,21063,PARTY INVITES JAZZ HEARTS,81,483,412.11,0.87,64
Home Décor,20839,FRENCH PAISLEY CUSHION COVER ,49,452,411.84,0.99,44
Home Décor,21629,SQUARE FLOOR CUSHION VINTAGE RED,25,53,411.35,7.88,13
Uncategorised,21426,WOODLAND STORAGE BOX SMALL,17,213,411.3,2.04,15
Uncategorised,22390,PAPERWEIGHT CHILDHOOD MEMORIES,30,261,410.72,2.36,24
Stationery & Cards,20658,RED RETROSPOT LUGGAGE TAG,59,328,410.0,1.25,44
Uncategorised,21358,TOAST ITS - HAPPY BIRTHDAY,59,328,410.0,1.25,54
Christmas & Seasonal,21817,GLITTER CHRISTMAS TREE,54,908,408.86,0.5,48
Kitchenware & Dining,22268,EASTER DECORATION SITTING BUNNY,54,503,408.83,0.85,44
Uncategorised,90200D,PINK SWEETHEART BRACELET,24,99,408.75,4.23,21
Home Décor,22513,DOORSTOP FOOTBALL DESIGN,51,135,408.73,3.78,37
Toys & Games,21219,SET/4 BADGES BALLOON GIRL,42,323,408.59,1.36,35
Uncategorised,22247,BUNNY DECORATION MAGIC GARDEN,56,485,408.09,0.85,54
Toys & Games,23422,PANTRY HOOK BALLOON WHISK ,31,196,407.68,2.08,29
Uncategorised,84916,HAND TOWEL PALE BLUE W FLOWERS,18,212,407.4,3.81,17
Uncategorised,46775D,SUNSET COLOUR CHUNKY KNITTED THROW,13,24,406.8,16.95,12
Uncategorised,20681,PINK POLKADOT CHILDRENS UMBRELLA,33,125,406.25,3.25,29
Uncategorised,23415,HOME SWEET HOME HOOK,45,326,405.6,1.37,42
Uncategorised,85136A,YELLOW SHARK HELICOPTER,37,51,405.45,7.95,35
Toys & Games,21202,DOLLY HONEYCOMB GARLAND,20,449,404.85,1.46,20
Home Décor,22510,GINGHAM BABUSHKA DOORSTOP,41,210,404.62,2.44,34
Bags & Accessories,21576,LETS GO SHOPPING COTTON TOTE BAG,46,177,403.67,2.37,40
Uncategorised,84917,WHITE HAND TOWEL WITH BUTTERFLY,14,170,400.5,3.26,13
Home Décor,21374,MIRRORED WALL ART SKULLS,40,294,400.0,1.69,37
Home Décor,20840,FRENCH FLORAL CUSHION COVER ,43,464,399.28,0.96,35
Home Décor,84974,S/2 ZINC HEART DESIGN PLANTERS,28,40,398.0,9.95,26
Stationery & Cards,22422,TOOTHPASTE TUBE PEN,73,971,397.25,0.66,53
Candles & Lighting,85127,SMALL SQUARE CUT GLASS CANDLESTICK,19,80,396.0,4.95,17
Kitchenware & Dining,22638,SET OF 4 NAPKIN CHARMS CROWNS ,38,255,394.42,2.25,37
Uncategorised,84806B,WHITE CANDYSTUFT ARTIFICIAL FLOWER,19,296,394.16,1.38,18
Stationery & Cards,22048,BIRTHDAY BANQUET GIFT WRAP,32,975,393.5,0.42,32
Uncategorised,21828,EIGHT PIECE SNAKE  SET,68,314,392.5,1.25,53
Uncategorised,84849B,FAIRY SOAP SOAP HOLDER,57,232,392.08,1.69,41
Uncategorised,22545,MINI JIGSAW BUNNIES,47,1089,391.11,0.4,40
Home Décor,84826,ASSTD DESIGN 3D PAPER STICKERS,30,1162,389.38,0.57,28
Kitchenware & Dining,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,54,481,388.69,0.85,51
Candles & Lighting,84360,TABLE LAMP WHITE SHADE WOOD BASE,17,74,388.3,5.8,9
Home Décor,23537,WALL ART I LOVE LONDON ,19,86,387.3,4.82,18
Uncategorised,23103,BELL HEART DECORATION,9,252,387.0,1.63,9
Uncategorised,21741,COSY SLIPPER SHOES LARGE GREEN,28,131,386.45,2.95,27
Bags & Accessories,84912A,PINK ROSE WASHBAG,38,103,386.25,3.75,25
Uncategorised,20803,SMALL PINK GLASS SUNDAE DISH,31,917,386.25,0.52,26
Kitchenware & Dining,82616C,MIDNIGHT GLAMOUR SCARF KNITTING KIT,52,277,385.52,1.58,40
Bags & Accessories,85088,CANDY SPOT HAND BAG,20,188,385.27,2.27,18
Uncategorised,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,54,975,385.02,0.42,16
Uncategorised,21415,CLAM SHELL SMALL ,30,206,384.13,1.98,25
Uncategorised,22337,ANGEL DECORATION PAINTED ZINC ,26,635,383.95,0.69,24
Kitchenware & Dining,18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,17,5856,383.76,0.17,15
Home Décor,47585A,PINK FAIRY CAKE CUSHION COVER,27,102,382.5,3.75,23
Uncategorised,20762,GREEN FERN SKETCHBOOK ,51,101,382.46,3.82,42
Home Décor,22785,SQUARECUSHION COVER PINK UNION JACK,29,150,382.14,6.1,27
Uncategorised,22517,CHILDS GARDEN RAKE PINK,54,186,381.6,2.1,48
Candles & Lighting,85180B,PINK HEARTS LIGHT CHAIN ,21,196,381.0,3.35,19
Home Décor,23457,LARGE PARLOUR PICTURE FRAME,27,78,380.7,4.93,25
Christmas & Seasonal,21373,MIRRORED WALL ART SNOWFLAKES,45,507,380.25,0.75,41
Stationery & Cards,16045,POPART WOODEN PENCILS ASST,68,8900,380.0,0.04,61
Uncategorised,21015,DARK BIRD HOUSE TREE DECORATION,66,1251,377.91,0.32,59
Uncategorised,22287,"DECORATION , WOBBLY CHICKEN, METAL ",28,229,377.85,1.65,27
Uncategorised,22250,DECORATION  BUTTERFLY  MAGIC GARDEN,57,449,377.49,0.85,57
Kitchenware & Dining,85078,SCANDINAVIAN 3 HEARTS NAPKIN RING,65,1746,376.5,0.3,46
Uncategorised,84687,BEACH HUT SHELF W 3 DRAWERS,20,70,376.5,5.7,16
Uncategorised,22286,DECORATION WOBBLY RABBIT METAL ,45,753,375.57,0.67,35
Uncategorised,35809A,ENAMEL PINK TEA CONTAINER,40,389,374.94,1.1,37
Uncategorised,20765,CHRYSANTHEMUM SKETCHBOOK ,51,96,374.84,3.96,45
Toys & Games,23128,DOLLCRAFT BOY JEAN-PAUL ,12,82,373.9,4.88,12
Uncategorised,85135B,BLUE DRAGONFLY HELICOPTER,34,47,373.65,7.95,28
Bags & Accessories,20716,PARTY FOOD SHOPPER BAG,34,314,373.5,1.24,31
Novelty & Gifts,22344,PARTY PIZZA DISH PINK POLKADOT,46,1049,373.31,0.58,34
Stationery & Cards,16011,ANIMAL STICKERS,46,1773,372.33,0.21,38
Uncategorised,21318,GLASS CHALICE BLUE SMALL ,40,680,372.3,0.9,38
Bags & Accessories,21581,SKULLS  DESIGN  COTTON TOTE BAG,40,165,371.25,2.25,33
Candles & Lighting,23039,T-LIGHT HOLDER SILVER HEART HANDLE,22,192,370.8,1.94,22
Christmas & Seasonal,21808,"CHRISTMAS GARLAND STARS,TREES",21,100,370.0,3.64,21
Uncategorised,21562,HAWAIIAN GRASS SKIRT ,25,319,368.35,1.23,20
Candles & Lighting,72799F,IVORY PILLAR CANDLE GOLD FLOCK,21,128,368.0,2.93,19
Toys & Games,21641,ASSORTED TUTTI FRUTTI KEYRING BALL,23,1102,367.98,0.48,19
Uncategorised,84600,NEW BAROQUE JEWELLERY BOX ,20,48,367.6,7.85,16
Stationery & Cards,21635,MADRAS NOTEBOOK LARGE ,15,270,367.5,1.92,15
Uncategorised,21194,PINK  HONEYCOMB PAPER FAN,41,437,366.7,0.95,37
Candles & Lighting,17012D,ORIGAMI ROSE INCENSE/CANDLE SET ,44,387,366.35,1.11,35
Uncategorised,47574A,ENGLISH ROSE SCENTED HANGING FLOWER,50,423,366.25,1.22,36
Candles & Lighting,85170C,SET/6 EAU DE NIL BIRD T-LIGHTS,29,252,366.23,1.95,26
Uncategorised,22201,FRYING PAN BLUE POLKADOT,40,108,366.0,3.79,29
Stationery & Cards,21846,PINK DIAMANTE PEN IN GIFT BOX,24,72,365.62,5.62,12
Candles & Lighting,72598,SET/12 TAPER CANDLES,41,459,364.95,0.84,38
Uncategorised,35637A,IVORY STRING CURTAIN WITH POLE ,24,166,363.7,2.62,23
Uncategorised,21356,TOAST ITS - FAIRY FLOWER,53,304,363.15,1.19,37
Uncategorised,16008,SMALL FOLDING SCISSOR(POINTED EDGE),70,2892,360.71,0.14,54
Uncategorised,22532,MAGIC DRAWING SLATE LEAP FROG ,66,1063,360.06,0.41,54
Home Décor,21365,MIRRORED WALL ART STARS,42,348,360.0,1.1,35
Uncategorised,84632,DECORATIVE HANGING SHELVING UNIT,5,6,359.7,59.95,5
Home Décor,23429,RED RETRO KITCHEN WALL CLOCK,20,44,358.6,8.15,19
Candles & Lighting,21285,RETROSPOT CANDLE  MEDIUM,33,350,357.62,1.64,26
Uncategorised,22308,TEA COSY BLUE STRIPE,36,145,356.89,2.81,27
Uncategorised,22230,JIGSAW TREE WITH WATERING CAN,63,926,356.46,0.54,50
Kitchenware & Dining,21348,PINK SPOTS CHOCOLATE NESTING BOXES ,5,139,355.65,2.79,5
Candles & Lighting,85169C,EAU DE NIL LOVE BIRD CANDLE,21,336,353.72,1.18,14
Candles & Lighting,23044,PAPER LANTERN 9 POINT HOLLY STAR S,19,85,352.75,4.15,19
Uncategorised,22260,FELT EGG COSY BLUE RABBIT ,47,410,351.62,0.91,37
Uncategorised,23337,EGG FRYING PAN MINT ,60,169,351.52,2.08,49
Home Décor,22405,MONEY BOX POCKET MONEY DESIGN,54,347,351.19,1.13,46
Toys & Games,21061,PARTY INVITES FOOTBALL,52,412,350.2,0.85,49
Uncategorised,22516,CHILDS GARDEN RAKE BLUE,41,171,350.1,2.09,35
Home Décor,85163A,WHITE BAROQUE WALL CLOCK ,18,45,349.95,11.57,15
Kitchenware & Dining,85232A,SET/3 POLKADOT STACKING TINS,25,74,349.5,4.92,22
Uncategorised,20998,ROSE DU SUD OVEN GLOVE,28,119,348.25,2.94,27
Candles & Lighting,23057,GEMSTONE CHANDELIER T-LIGHT HOLDER,7,78,347.7,4.84,7
Bags & Accessories,21579,LOLITA  DESIGN  COTTON TOTE BAG,32,154,346.5,2.25,30
Kitchenware & Dining,21664,RIDGED GLASS STORAGE JAR CREAM LID,17,97,346.47,3.73,15
Kitchenware & Dining,23576,SNACK TRAY RED VINTAGE DOILY,29,185,346.35,1.94,28
Uncategorised,23150,IVORY SWEETHEART SOAP DISH,40,139,346.11,2.49,33
Kitchenware & Dining,21088,SET/6 FRUIT SALAD PAPER CUPS,74,1576,345.42,0.26,67
Uncategorised,21421,PORCELAIN ROSE LARGE ,13,298,345.14,1.24,11
Candles & Lighting,21689,SILVER VANILLA  FLOWER CANDLE POT,23,92,345.0,3.75,22
Uncategorised,17012C,ORIGAMI LAVENDER INCENSE/CANDL SET ,43,363,344.35,1.15,37
Kitchenware & Dining,22640,SET OF 4 NAPKIN CHARMS 3 KEYS ,41,186,344.22,2.38,33
Kitchenware & Dining,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,37,94,342.74,4.02,29
Uncategorised,84931B,BLUE SCOTTIE DOG W FLOWER PATTERN,25,134,341.7,2.55,21
Candles & Lighting,84766,SILVER ROCOCO CANDLE STICK,14,146,340.7,3.38,11
Uncategorised,22813,PACK 3 BOXES BIRD PANETTONE ,14,177,340.33,2.55,11
Uncategorised,84569D,PACK 6 HEART/ICE-CREAM PATCHES,34,269,338.67,1.28,32
Home Décor,22406,MONEY BOX KINGS CHOICE DESIGN,64,319,336.89,1.22,49
Kitchenware & Dining,23661,MILK MAIDS MUG ,23,204,336.6,1.65,23
Toys & Games,23127,DOLLCRAFT GIRL NICOLE,12,68,336.6,4.95,12
Stationery & Cards,21867,PINK UNION JACK  LUGGAGE TAG,75,266,336.27,1.28,56
Uncategorised,90149,SILVER FLOWR PINK SHELL NECKLACE,3,52,335.28,7.12,2
Kitchenware & Dining,22643,SET OF 4 NAPKIN CHARMS LEAVES   ,30,185,334.63,2.06,29
Uncategorised,22229,BUNNY WOODEN PAINTED WITH FLOWER ,62,495,334.27,0.67,54
Uncategorised,22265,EASTER DECORATION NATURAL CHICK,48,514,334.1,0.65,42
Home Décor,85163B,BLACK BAROQUE WALL CLOCK ,14,44,333.6,11.24,10
Uncategorised,23420,PANTRY HOOK TEA STRAINER ,28,160,332.8,2.08,26
Uncategorised,21129,SILVER FISHING GNOME ,20,45,332.3,8.28,13
Uncategorised,22322,BIRD DECORATION GREEN POLKADOT,37,390,331.5,0.85,30
Candles & Lighting,23484,HEART TRELLIS TRIPLE T-LIGHT HOLDER,20,118,331.42,2.87,20
Kitchenware & Dining,84926E,FLOWERS TILE COASTER,37,990,329.84,0.44,32
Uncategorised,22529,MAGIC DRAWING SLATE GO TO THE FAIR ,61,816,329.76,0.42,52
Uncategorised,84616,SILVER ROCCOCO CHANDELIER,6,11,329.45,29.95,6
Uncategorised,17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,42,365,329.05,1.0,33
Kitchenware & Dining,23236,DOILEY BISCUIT TIN,13,120,327.6,2.86,13
Uncategorised,23116,VEGETABLE GARDEN CHOPPING BOARD,17,72,327.6,4.91,17
Uncategorised,22256,FELT FARM ANIMAL CHICKEN,33,262,327.5,1.25,32
Uncategorised,16259,PIECE OF CAMO STATIONERY SET,31,3380,326.56,0.1,28
Candles & Lighting,85230B,CINNAMON SCENTED VOTIVE CANDLE,38,1264,326.24,0.28,30
Uncategorised,84913B,MINT GREEN ROSE TOWEL,20,70,325.5,4.65,19
Home Décor,23521,WALL ART CAT AND BIRD ,18,118,324.98,2.75,18
Home Décor,84663A,GRASS HOPPER WOODEN WALL CLOCK ,25,260,324.04,2.12,21
Home Décor,23521,CAT AND BIRD WALL ART,4,270,323.64,2.01,3
Uncategorised,21197,MULTICOLOUR  CONFETTI IN TUBE,13,243,322.71,1.52,13
Home Décor,84658,WHITE STITCHED CUSHION COVER,16,46,322.38,7.02,14
Uncategorised,21263,GREEN GOOSE FEATHER TREE 60CM,36,165,321.75,1.95,32
Uncategorised,22248,DECORATION  PINK CHICK MAGIC GARDEN,44,383,321.39,0.85,43
Bags & Accessories,23205,CHARLOTTE BAG ALPHABET  DESIGN,22,400,320.5,0.84,22
Uncategorised,23421,PANTRY HOOK SPATULA,26,154,320.32,2.08,24
Uncategorised,20768,GREEN FERN JOURNAL ,36,131,320.26,2.6,31
Novelty & Gifts,21884,CAKES AND BOWS GIFT  TAPE,44,1017,318.81,0.5,43
Novelty & Gifts,22345,PARTY PIZZA DISH BLUE POLKADOT,41,972,318.48,0.54,29
Kitchenware & Dining,84951B,SET OF 4 BLACK LOVEBIRD COASTERS,31,334,318.44,1.08,24
Kitchenware & Dining,21243,PINK POLKADOT PLATE ,18,202,318.34,1.68,18
Home Décor,23523,WALL ART TREASURE AHOY ,22,87,317.97,3.71,21
Stationery & Cards,21724,PANDA AND BUNNIES STICKER SHEET,57,372,316.2,0.85,43
Uncategorised,21881,CUTE CATS TAPE,45,975,315.55,0.57,37
Stationery & Cards,21723,ALPHABET HEARTS STICKER SHEET,38,371,315.35,0.85,29
Candles & Lighting,23037,CANDLE HOLDER SILVER MADELINE,18,193,315.29,1.73,17
Kitchenware & Dining,84951A,SET OF 4 PISTACHIO LOVEBIRD COASTER,33,363,315.06,1.0,26
Home Décor,84659A,WHITE TRAVEL ALARM CLOCK,22,134,314.31,2.47,19
Kitchenware & Dining,21775,DECORATIVE FLORE BATHROOM BOTTLE,41,283,313.91,1.23,34
Home Décor,85071C,"CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",72,607,313.78,0.75,62
Candles & Lighting,21284,RETROSPOT CANDLE  SMALL,25,385,313.53,1.2,24
Christmas & Seasonal,23130,MISELTOE HEART WREATH ,5,80,312.8,4.07,5
Uncategorised,22162,HEART GARLAND RUSTIC PADDED,27,106,312.7,2.95,21
Uncategorised,22092,BLUE PAISLEY TISSUE BOX,88,668,312.34,0.51,75
Novelty & Gifts,21220,SET/4 BADGES DOGS,41,239,312.06,1.39,34
Uncategorised,23339,EGG FRYING PAN BLUE ,58,150,312.0,2.08,43
Uncategorised,90200E,GREEN SWEETHEART BRACELET,18,76,311.0,4.22,15
Uncategorised,21841,BABY MOUSE RED GINGHAM DRESS,20,73,310.25,4.25,19
Stationery & Cards,16219,HOUSE SHAPE PENCIL SHARPENER,47,2915,309.9,0.09,41
Novelty & Gifts,22346,PARTY PIZZA DISH GREEN POLKADOT,32,885,309.69,0.54,23
Uncategorised,21320,GLASS CHALICE GREEN  LARGE ,11,186,309.66,1.6,10
Uncategorised,23478,WOODLAND LARGE PINK FELT HEART,10,278,307.18,1.23,9
Uncategorised,22100,SKULLS SQUARE TISSUE BOX,38,729,305.81,0.65,34
Kitchenware & Dining,23575,SNACK TRAY PAISLEY PARK,22,164,305.4,1.94,22
Christmas & Seasonal,23131,MISELTOE HEART WREATH WHITE,4,78,304.5,4.05,4
Stationery & Cards,22040,BOTANICAL ROSE GIFT WRAP,28,725,304.5,0.42,27
Uncategorised,22965,3 TRADITIONAL COOKIE CUTTERS  SET,4,162,304.2,2.04,4
Home Décor,23396,LA JARDIN BOTANIQUE CUSHION COVER,23,81,303.75,3.75,23
Novelty & Gifts,21879,HEARTS GIFT TAPE,57,1027,303.23,0.46,52
Toys & Games,21060,PARTY INVITES BALLOON GIRL,53,356,302.6,0.85,47
Uncategorised,22204,MILK PAN BLUE POLKADOT,30,96,302.5,3.35,23
Uncategorised,85213,MINI  ZINC GARDEN DECORATIONS ,24,821,301.37,0.51,23
Uncategorised,21761,WOOD AND GLASS MEDICINE CABINET,10,10,299.5,29.95,10
Uncategorised,23440,PAINT YOUR OWN EGGS IN CRATE,5,164,299.36,2.02,5
Uncategorised,23466,TUSCAN VILLA DOVECOTE BIRD FEEDER,17,37,299.25,8.21,17
Bags & Accessories,85208,SET/12 FUNKY FELT FLOWER PEG IN BAG,24,161,298.74,2.08,22
Stationery & Cards,23695,DOILY THANK YOU CARD,44,727,296.7,0.42,41
Uncategorised,85205B,PINK FELT EASTER RABBIT GARLAND,24,116,295.8,2.55,22
Toys & Games,23126,DOLLCRAFT GIRL AMELIE KIT,8,66,294.7,4.85,8
Candles & Lighting,20934,SET/3 POT PLANT CANDLES,20,54,294.3,5.45,20
Uncategorised,35095A,BLUE VICTORIAN FABRIC OVAL BOX,34,811,293.82,0.42,29
Christmas & Seasonal,22598,CHRISTMAS MUSICAL ZINC TREE,51,815,291.33,0.47,42
Bags & Accessories,17129F,BLUE GLASS GEMS IN BAG,19,427,291.25,0.84,11
Uncategorised,21131,GOLD STANDING GNOME,17,93,290.25,3.87,11
Uncategorised,23410,CURIO CABINET LINEN AND LACE ,18,36,290.1,8.03,16
Bags & Accessories,20725,LUNCH BAG RED SPOTTY,1,200,290.0,1.45,1
Uncategorised,16015,MEDIUM CHINESE STYLE SCISSOR,24,662,289.98,0.49,19
Home Décor,85024B,EAU DE NILE JEWELLED PHOTOFRAME,12,193,289.65,1.63,12
Candles & Lighting,22486,PLASMATRONIC LAMP,10,52,288.94,7.9,9
Stationery & Cards,21503,TOYBOX  WRAP ,23,726,288.92,0.42,22
Candles & Lighting,84358,FLOOR LAMP SHADE WOOD BASE,12,32,287.74,9.34,6
